time-malawi,bc-blue,bc-ir,aae-blue-ir
15:37:31,1113,-1499,#NUM!
15:37:41,1238,1232,1.017972012
15:37:51,380,-680,#NUM!
15:38:01,950,1319,0.486991137
15:38:11,1361,-628,#NUM!
15:38:21,190,149,1.39779273
15:38:31,1376,306,3.407191369
15:38:41,585,1727,-0.715775186
15:38:51,1008,-1014,#NUM!
15:39:01,1262,800,1.737026162
15:39:11,491,-184,#NUM!
15:39:21,824,86,4.613322312
15:39:31,1018,89,4.895749992
15:39:41,682,489,1.540635433
15:39:51,1410,437,2.877942585
15:40:01,951,-192,#NUM!
15:40:11,1318,1340,0.983831618
15:40:21,880,-176,#NUM!
15:40:31,943,596,1.741784376
15:40:41,969,-807,#NUM!
15:40:51,965,1490,0.317606639
15:41:01,974,-34,#NUM!
15:41:11,897,-636,#NUM!
15:41:21,1080,1529,0.455922813
15:41:31,640,97,4.018500163
15:41:41,1396,318,3.36886798
15:41:51,1094,-43,#NUM!
15:42:01,1010,1052,0.945264938
15:42:11,816,282,2.70430359
15:42:21,699,244,2.688319949
15:42:31,671,-456,#NUM!
15:42:41,1087,640,1.854801458
15:42:51,1243,62,5.790519652
15:43:01,554,869,0.292454515
15:43:11,1188,475,2.471844892
15:43:21,1059,-15,#NUM!
15:43:31,895,-231,#NUM!
15:43:41,854,245,3.001129006
15:43:51,1223,476,2.514786615
15:44:01,822,745,1.167046431
15:44:11,949,1238,0.586360692
15:44:21,1065,289,3.089826971
15:44:31,572,35,5.464688512
15:44:41,995,-78,#NUM!
15:44:51,869,553,1.730877792
15:45:01,826,-1012,#NUM!
15:45:11,1081,788,1.514290208
15:45:21,743,219,2.958002199
15:45:31,815,1124,0.497683685
15:45:41,1275,-448,#NUM!
15:45:51,1065,1717,0.24872713
15:46:01,1016,-711,#NUM!
15:46:11,873,457,2.042214526
15:46:21,672,-165,#NUM!
15:46:31,1319,899,1.621438719
15:46:41,1262,139,4.527472424
15:46:51,526,475,1.172834528
15:47:01,584,1477,-0.469179855
15:47:11,2338,369,3.953922043
15:47:21,1359,1000,1.499311327
15:47:31,625,467,1.474874135
15:47:41,1283,-273,#NUM!
15:47:51,1018,1360,0.548411814
15:48:01,291,-122,#NUM!
15:48:11,1494,666,2.298390058
15:48:21,403,984,-0.413091574
15:48:31,1422,202,4.12180984
15:48:41,941,-255,#NUM!
15:48:51,1124,791,1.570425317
15:49:01,458,-227,#NUM!
15:49:11,1081,545,2.102170688
15:49:21,677,485,1.541998998
15:49:31,1562,912,1.8681525
15:49:41,496,-781,#NUM!
15:49:51,377,752,-0.090703698
15:50:01,862,326,2.560568027
15:50:11,1062,379,2.653068195
15:50:21,1039,325,2.863237326
15:50:31,851,962,0.814746847
15:50:41,1418,521,2.606638296
15:50:51,523,-230,#NUM!
15:51:01,784,636,1.343794178
15:51:11,738,902,0.690273448
